撰	VERBccompVERB	由	3
，	PUNCTpunctVERB	是	3
距今	NOUNnsubjVERB	有	3
3	ABOUT	距今	3
亦	ADVmarkVERB	有	3
有	VERBparataxisVERB	是	3
两千余	NUMnummodNOUN	年	3
年	NOUNobjVERB	有	3
3	ABOUT	年	3
了	PARTdiscourseVERB	有	3
。	PUNCTpunctVERB	是	3
这	DETdetNOUN	本	4
本	NOUNclfNOUN	书	4
书	NOUNnsubjVERB	看出	4
4	ABOUT	书	4
虽	ADPcaseVERB	有	4
只	ADVadvmodVERB	有	4
有	VERBxcompVERB	看出	4
少量	NUMnummodNOUN	篇	4
篇	NOUNclfNOUN	章	4
章	NOUNnsubjVERB	存世	4
4	ABOUT	章	4
存世	VERBccompVERB	有	4
，	PUNCTpunctVERB	看出	4
但	ADVmarkVERB	看出	4
我	PRONnsubjVERB	看出	4
仍能	ADVadvmodVERB	看出	4
看出	VERB_PREDICATE_OF	4	4
，	PUNCTpunctVERB	看出	4
作者	NOUNnsubjVERB	取得	4
4	ABOUT	作者	4
对	ADPcaseNOUN	藏书	4
当时	NOUNnmodNOUN	藏书	4
的	PARTcase:decNOUN	当时	4
国家	NOUNnmodNOUN	藏书	4
藏书	NOUNnsubjVERB	作	4
4	ABOUT	藏书	4
所	ADVmarkVERB	作	4
作	VERBacl:relclNOUN	研究	4
的	PARTmark:relclVERB	作	4
研究	NOUNnsubjVERB	取得	4
4	ABOUT	研究	4
，	PUNCTpunctVERB	取得	4
并	ADVmarkVERB	取得	4
取得	VERBccompVERB	看出	4
很高	ADJamodNOUN	成就	4
的	PARTmark:relclADJ	很高	4
成就	NOUNobjVERB	取得	4
4	ABOUT	成就	4
。	PUNCTpunctVERB	看出	4
至	ADPcasePRON	此	5
此	PRONoblVERB	形成	5
之后	ADPaclPRON	此	5
，	PUNCTpunctVERB	形成	5
中国	PROPNnmodPART	馆	5
历代	NOUNnmodPART	馆	5
图书	NOUNcompoundPART	馆	5
馆	PARTnsubjVERB	形成	5
学著	VERBadvclVERB	形成	5
作(	PROPNnmodNOUN	录学	5
含目	NOUNnmodNOUN	录学	5
录学	NOUNobjVERB	学著	5
5	ABOUT	录学	5
与	CCONJccNOUN	学)	5
文献	NOUNnmodNOUN	学)	5
学)	NOUNconjNOUN	录学	5
都	ADVmarkVERB	有	5
有	VERBadvclVERB	形成	5
撰述	NOUNobjVERB	有	5
5	ABOUT	撰述	5
，	PUNCTpunctVERB	形成	5
并	ADVmarkVERB	形成	5
形成	VERB_PREDICATE_OF	5	5
了	PARTcase:aspectVERB	形成	5
